dd-mm-yyyy,2m_temperature,2m_dewpoint_temperature,surface_pressure,10m_wind_speed,total_precipitation,convective_available_potential_energy,month,day_of_year,Label
01-01-2000,18.66,10.74,1014.81,12.6,0.0,0.0,1,1,0
02-01-2000,18.62,11.48,1014.23,11.1,0.0,0.0,1,2,0
03-01-2000,18.46,11.85,1013.0,11.6,0.0,0.0,1,3,0
04-01-2000,17.89,11.16,1013.61,11.9,0.0,0.0,1,4,0
05-01-2000,17.41,10.79,1013.94,11.9,0.0,0.0,1,5,0
06-01-2000,17.09,9.97,1013.16,12.0,0.0,0.0,1,6,0
07-01-2000,16.39,8.17,1013.94,12.6,0.0,0.0,1,7,0
08-01-2000,16.45,8.6,1013.53,10.4,0.0,0.0,1,8,0
09-01-2000,17.25,9.42,1013.04,8.8,0.0,0.0,1,9,0
10-01-2000,18.34,10.86,1012.52,8.0,0.0,0.0,1,10,0
11-01-2000,20.01,12.92,1012.82,6.4,0.0,0.0,1,11,0
12-01-2000,20.53,14.58,1012.3,9.1,0.0,0.0,1,12,0
13-01-2000,21.0,15.4,1010.96,9.6,0.0,0.0,1,13,0
14-01-2000,22.41,16.25,1009.48,10.6,0.0,0.0,1,14,0
15-01-2000,21.94,15.28,1011.28,8.2,0.0,0.0,1,15,0
16-01-2000,22.01,16.06,1013.2,8.0,0.0,0.0,1,16,0
17-01-2000,20.33,12.15,1015.24,13.3,0.0,0.0,1,17,0
18-01-2000,17.41,6.92,1015.3,14.3,0.0,0.0,1,18,0
19-01-2000,17.93,8.09,1011.94,13.1,0.0,0.0,1,19,0
20-01-2000,18.76,9.37,1009.66,10.1,0.0,0.0,1,20,0
21-01-2000,20.6,16.38,1012.08,9.8,0.4,0.0,1,21,0
22-01-2000,20.89,16.13,1012.54,9.8,0.0,0.0,1,22,0
23-01-2000,21.54,18.43,1011.94,8.0,3.1,0.0,1,23,0
24-01-2000,20.45,15.67,1014.62,9.2,0.0,0.0,1,24,0
25-01-2000,20.15,12.82,1016.81,11.8,0.0,0.0,1,25,0
26-01-2000,19.77,10.65,1016.38,14.1,0.0,0.0,1,26,0
27-01-2000,19.85,10.98,1014.98,9.4,0.0,0.0,1,27,0
28-01-2000,21.37,12.8,1013.73,10.7,0.0,0.0,1,28,0
29-01-2000,19.99,12.47,1013.71,14.9,0.0,0.0,1,29,0
30-01-2000,19.03,9.95,1016.1,9.3,0.0,0.0,1,30,0
31-01-2000,19.84,11.85,1016.26,7.7,0.0,0.0,1,31,0
01-02-2000,20.54,13.32,1014.08,9.9,0.0,0.0,2,32,0
02-02-2000,21.6,15.75,1013.13,15.6,0.0,0.0,2,33,0
03-02-2000,22.53,18.1,1014.25,12.4,0.0,0.0,2,34,0
04-02-2000,21.88,18.92,1012.68,6.1,0.5,0.0,2,35,0
05-02-2000,22.68,19.44,1011.14,14.1,2.4,0.0,2,36,0
06-02-2000,22.05,19.24,1011.01,11.9,6.1,0.0,2,37,0
07-02-2000,20.21,17.72,1011.36,10.1,16.6,0.0,2,38,0
08-02-2000,19.88,16.15,1011.81,8.7,0.0,0.0,2,39,0
09-02-2000,20.39,16.54,1011.92,7.4,0.0,0.0,2,40,0
10-02-2000,20.62,17.28,1012.82,6.6,0.5,0.0,2,41,0
11-02-2000,21.67,16.32,1011.82,11.7,0.0,0.0,2,42,0
12-02-2000,20.53,18.6,1011.78,10.2,30.1,0.0,2,43,0
13-02-2000,20.3,15.84,1012.11,8.8,0.0,0.0,2,44,0
14-02-2000,19.64,14.49,1013.3,11.5,0.0,0.0,2,45,0
15-02-2000,19.25,12.7,1013.71,13.7,0.0,0.0,2,46,0
16-02-2000,18.56,11.5,1012.18,10.4,0.0,0.0,2,47,0
17-02-2000,20.76,15.7,1009.4,7.3,0.7,0.0,2,48,0
18-02-2000,21.38,15.4,1010.3,15.7,2.4,0.0,2,49,0
19-02-2000,20.18,12.98,1011.54,6.3,0.0,0.0,2,50,0
20-02-2000,20.61,12.78,1011.31,8.1,0.0,0.0,2,51,0
21-02-2000,20.0,15.21,1012.63,7.3,0.0,0.0,2,52,0
22-02-2000,19.76,13.89,1013.18,9.0,0.0,0.0,2,53,0
23-02-2000,21.09,13.04,1012.82,8.9,0.0,0.0,2,54,0
24-02-2000,21.61,13.64,1012.88,12.1,0.0,0.0,2,55,0
25-02-2000,20.4,10.62,1012.03,11.3,0.0,0.0,2,56,0
26-02-2000,20.43,10.01,1011.18,10.1,0.0,0.0,2,57,0
27-02-2000,20.27,12.1,1011.38,10.2,0.0,0.0,2,58,0
28-02-2000,21.4,13.62,1012.3,12.2,0.0,0.0,2,59,0
29-02-2000,21.82,12.58,1010.84,9.3,0.0,0.0,2,60,0
01-03-2000,22.97,15.96,1008.21,10.6,0.0,0.0,3,61,0
02-03-2000,25.59,19.06,1007.07,14.6,0.0,0.0,3,62,0
03-03-2000,25.88,19.89,1007.86,9.4,0.0,0.0,3,63,0
04-03-2000,26.06,21.15,1008.72,12.7,0.1,0.0,3,64,0
05-03-2000,26.2,21.27,1007.62,14.9,0.4,0.0,3,65,0
06-03-2000,26.59,20.59,1007.52,10.1,0.0,0.0,3,66,0
07-03-2000,26.51,20.33,1008.77,12.3,0.0,0.0,3,67,0
08-03-2000,26.51,19.99,1006.47,13.4,0.0,0.0,3,68,0
09-03-2000,25.55,15.85,1006.34,10.9,0.4,0.0,3,69,0
10-03-2000,24.38,12.73,1007.89,9.4,0.0,0.0,3,70,0
11-03-2000,24.71,17.7,1007.64,14.5,0.0,0.0,3,71,0
12-03-2000,26.96,21.16,1004.88,23.3,0.4,0.0,3,72,0
13-03-2000,27.7,22.24,1004.33,24.7,0.6,0.0,3,73,0
14-03-2000,27.77,21.31,1006.37,18.7,0.9,0.0,3,74,0
15-03-2000,26.45,18.36,1007.5,9.1,0.9,0.0,3,75,0
16-03-2000,25.92,12.45,1007.68,11.2,0.0,0.0,3,76,0
17-03-2000,24.77,10.82,1007.23,11.8,0.0,0.0,3,77,0
18-03-2000,26.13,18.37,1007.3,17.8,0.0,0.0,3,78,0
19-03-2000,27.55,20.94,1007.13,16.5,0.6,0.0,3,79,0
20-03-2000,27.6,19.39,1008.1,10.2,0.0,0.0,3,80,0
21-03-2000,26.69,14.72,1010.06,7.7,0.0,0.0,3,81,0
22-03-2000,26.9,16.84,1009.8,10.8,0.0,0.0,3,82,0
23-03-2000,28.0,16.73,1010.24,8.3,0.0,0.0,3,83,0
24-03-2000,27.35,16.25,1010.82,13.0,0.0,0.0,3,84,0
25-03-2000,28.11,14.12,1011.26,15.4,0.0,0.0,3,85,0
26-03-2000,28.17,14.08,1011.41,10.2,0.0,0.0,3,86,0
27-03-2000,28.14,16.02,1010.84,8.3,0.1,0.0,3,87,0
28-03-2000,28.63,15.66,1010.15,9.2,0.0,0.0,3,88,0
29-03-2000,28.99,16.12,1009.55,11.9,0.0,0.0,3,89,0
30-03-2000,28.11,19.79,1008.3,14.0,0.0,0.0,3,90,0
31-03-2000,27.77,20.49,1007.14,14.8,0.0,0.0,3,91,0
01-04-2000,28.57,21.61,1005.19,18.9,0.0,0.0,4,92,0
02-04-2000,29.76,22.15,1003.45,21.6,0.0,0.0,4,93,0
03-04-2000,29.79,22.46,1004.78,17.7,0.0,0.0,4,94,0
04-04-2000,30.18,23.45,1004.33,18.0,0.0,0.0,4,95,0
05-04-2000,30.02,23.78,1004.01,18.7,0.0,0.0,4,96,0
06-04-2000,30.13,23.81,1004.28,19.6,0.1,0.0,4,97,0
07-04-2000,29.95,24.13,1006.76,20.6,0.0,0.0,4,98,0
08-04-2000,30.56,24.32,1005.32,16.2,0.0,0.0,4,99,0
09-04-2000,30.6,25.37,1003.22,19.1,0.0,0.0,4,100,0
10-04-2000,31.37,23.12,1003.83,15.6,0.0,0.0,4,101,0
11-04-2000,29.97,23.64,1004.59,18.4,0.0,0.0,4,102,0
12-04-2000,28.99,23.57,1005.72,17.8,3.4,0.0,4,103,0
13-04-2000,29.35,22.68,1003.99,15.1,0.0,0.0,4,104,0
14-04-2000,29.31,22.76,1002.87,18.4,0.5,0.0,4,105,0
15-04-2000,28.11,23.42,1004.77,13.7,11.6,0.0,4,106,0
16-04-2000,28.0,23.35,1005.6,11.5,4.2,0.0,4,107,0
17-04-2000,29.44,23.88,1005.33,16.6,0.2,0.0,4,108,0
18-04-2000,29.82,24.45,1005.79,19.1,0.0,0.0,4,109,0
19-04-2000,30.11,24.7,1005.78,17.5,0.0,0.0,4,110,0
20-04-2000,30.05,24.71,1003.88,18.5,0.0,0.0,4,111,0
21-04-2000,30.38,24.93,1003.67,18.4,0.0,0.0,4,112,0
22-04-2000,30.26,24.7,1004.27,18.1,0.0,0.0,4,113,0
23-04-2000,30.29,24.35,1004.18,17.3,0.1,0.0,4,114,0
24-04-2000,28.87,24.03,1002.82,21.7,28.2,0.0,4,115,0
25-04-2000,28.75,24.4,1002.0,19.4,7.4,0.0,4,116,0
26-04-2000,29.1,25.02,1001.62,26.8,1.9,0.0,4,117,0
27-04-2000,29.42,25.16,1002.06,24.4,1.0,0.0,4,118,0
28-04-2000,29.88,25.36,1001.27,21.5,0.5,0.0,4,119,0
29-04-2000,30.2,25.66,1002.37,26.5,0.0,0.0,4,120,0
30-04-2000,30.01,25.63,1004.18,26.8,0.2,0.0,4,121,0
01-05-2000,30.5,25.4,1003.18,24.3,0.0,0.0,5,122,0
02-05-2000,30.09,25.32,1004.55,27.6,0.4,0.0,5,123,0
03-05-2000,28.52,24.58,1006.63,20.9,7.4,0.0,5,124,0
04-05-2000,27.36,23.83,1006.95,8.4,5.4,0.0,5,125,0
05-05-2000,28.77,23.56,1007.53,10.5,0.1,0.0,5,126,0
