year,month,place,state,rainfall_mm,rainfall_3day,temperature_c,humidity_percent,elevation_m,soil_type,slope_deg,flood
2015,1,Mumbai,Maharashtra,73.35,28.35,28.6,42.3,14,Clayey,2,0
2016,1,Mumbai,Maharashtra,89.81,44.66,27.3,47.7,14,Clayey,2,0
2017,1,Mumbai,Maharashtra,151.02,34.14,26.4,69.9,14,Clayey,2,0
2018,1,Mumbai,Maharashtra,198.63,46.42,26.2,76.6,14,Clayey,2,1
2019,1,Mumbai,Maharashtra,100.46,42.27,29.6,45.1,14,Clayey,2,0
2020,1,Mumbai,Maharashtra,45.92,19.88,30.2,69.4,14,Clayey,2,0
2021,1,Mumbai,Maharashtra,92.26,36.3,32.3,69.6,14,Clayey,2,0
2022,1,Mumbai,Maharashtra,16.0,3.84,31.0,60.0,14,Clayey,2,0
2023,1,Mumbai,Maharashtra,268.38,100.87,29.9,76.0,14,Clayey,2,0
2024,1,Mumbai,Maharashtra,520.93,157.46,32.7,77.3,14,Clayey,2,1
2025,1,Mumbai,Maharashtra,71.01,22.86,28.0,53.3,14,Clayey,2,0
2015,2,Mumbai,Maharashtra,391.8,120.05,31.4,70.4,14,Clayey,2,1
2016,2,Mumbai,Maharashtra,154.17,55.52,30.0,72.2,14,Clayey,2,0
2017,2,Mumbai,Maharashtra,117.01,43.68,33.6,57.9,14,Clayey,2,0
2018,2,Mumbai,Maharashtra,10.0,2.61,26.5,87.9,14,Clayey,2,0
2019,2,Mumbai,Maharashtra,10.0,4.46,29.7,66.3,14,Clayey,2,0
2020,2,Mumbai,Maharashtra,136.8,64.49,26.5,43.9,14,Clayey,2,0
2021,2,Mumbai,Maharashtra,267.08,87.34,27.8,20.0,14,Clayey,2,0
2022,2,Mumbai,Maharashtra,260.64,80.77,28.1,71.2,14,Clayey,2,0
2023,2,Mumbai,Maharashtra,76.77,37.98,32.2,48.0,14,Clayey,2,0
2024,2,Mumbai,Maharashtra,246.63,53.53,29.0,71.3,14,Clayey,2,0
2025,2,Mumbai,Maharashtra,74.02,23.78,28.6,67.1,14,Clayey,2,0
2015,3,Mumbai,Maharashtra,195.55,86.44,32.0,55.6,14,Clayey,2,0
2016,3,Mumbai,Maharashtra,112.37,39.78,30.1,92.4,14,Clayey,2,0
