year,month,place,state,rainfall_mm,elevation_m,slope_deg,soil_type,landslide
2015,1,Munnar,Kerala,116.47,1616.19,36.57,laterite,1
2015,2,Munnar,Kerala,110.72,1606.98,35.03,laterite,1
2015,3,Munnar,Kerala,93.26,1606.05,26.26,laterite,0
2015,4,Munnar,Kerala,91.03,1589.3,29.77,laterite,0
2015,5,Munnar,Kerala,235.53,1601.69,27.73,laterite,0
2015,6,Munnar,Kerala,578.51,1584.99,34.84,laterite,1
2015,7,Munnar,Kerala,533.72,1599.66,28.83,laterite,1
2015,8,Munnar,Kerala,498.6,1669.46,35.58,laterite,0
2015,9,Munnar,Kerala,416.81,1597.11,31.1,laterite,0
2015,10,Munnar,Kerala,81.58,1566.33,29.36,laterite,0
2015,11,Munnar,Kerala,132.83,1583.08,33.84,laterite,0
2015,12,Munnar,Kerala,180.65,1594.82,30.13,laterite,1
2016,1,Munnar,Kerala,64.18,1570.09,34.44,laterite,0
2016,2,Munnar,Kerala,68.29,1598.1,34.92,laterite,0
2016,3,Munnar,Kerala,128.41,1639.12,24.14,laterite,1
2016,4,Munnar,Kerala,45.43,1626.06,34.71,laterite,0
2016,5,Munnar,Kerala,469.46,1587.04,29.57,laterite,0
2016,6,Munnar,Kerala,628.47,1628.95,32.77,laterite,1
2016,7,Munnar,Kerala,604.21,1624.22,29.89,laterite,1
2016,8,Munnar,Kerala,674.81,1592.7,24.03,laterite,1
2016,9,Munnar,Kerala,360.23,1579.94,31.52,laterite,0
2016,10,Munnar,Kerala,73.97,1635.1,31.94,laterite,0
2016,11,Munnar,Kerala,134.17,1661.58,31.42,laterite,1
2016,12,Munnar,Kerala,150.95,1599.82,34.3,laterite,0
2017,1,Munnar,Kerala,73.03,1635.07,27.79,laterite,1
2017,2,Munnar,Kerala,259.02,1587.66,34.77,laterite,1
2017,3,Munnar,Kerala,180.01,1561.23,32.21,laterite,0
2017,4,Munnar,Kerala,156.01,1615.51,31.52,laterite,1
2017,5,Munnar,Kerala,319.02,1620.34,28.31,laterite,0
2017,6,Munnar,Kerala,663.23,1591.89,31.38,laterite,1
2017,7,Munnar,Kerala,656.25,1613.05,32.89,laterite,1
2017,8,Munnar,Kerala,605.59,1605.66,34.54,laterite,1
2017,9,Munnar,Kerala,299.14,1570.22,33.97,laterite,1
2017,10,Munnar,Kerala,174.82,1619.25,35.81,laterite,0
2017,11,Munnar,Kerala,184.03,1593.87,29.74,laterite,0
2017,12,Munnar,Kerala,78.65,1621.97,31.28,laterite,0
2018,1,Munnar,Kerala,109.29,1668.0,33.88,laterite,0
2018,2,Munnar,Kerala,127.68,1596.57,31.63,laterite,0
2018,3,Munnar,Kerala,74.36,1562.13,30.66,laterite,1
2018,4,Munnar,Kerala,167.77,1602.31,33.89,laterite,1
2018,5,Munnar,Kerala,368.56,1571.43,33.07,laterite,0
2018,6,Munnar,Kerala,516.13,1634.55,34.72,laterite,0
2018,7,Munnar,Kerala,604.57,1696.32,33.71,laterite,1
2018,8,Munnar,Kerala,587.61,1604.4,28.54,laterite,1
2018,9,Munnar,Kerala,335.94,1602.05,38.94,laterite,1
2018,10,Munnar,Kerala,100.29,1602.0,29.32,laterite,0
2018,11,Munnar,Kerala,82.25,1616.99,29.81,laterite,1
2018,12,Munnar,Kerala,268.51,1646.09,36.09,laterite,0
2019,1,Munnar,Kerala,111.75,1583.46,34.56,laterite,1
2019,2,Munnar,Kerala,93.67,1580.7,36.98,laterite,1
2019,3,Munnar,Kerala,81.49,1644.14,33.21,laterite,0
2019,4,Munnar,Kerala,155.63,1609.43,36.95,laterite,1
2019,5,Munnar,Kerala,403.92,1631.67,29.88,laterite,1
2019,6,Munnar,Kerala,507.37,1599.51,29.2,laterite,1
2019,7,Munnar,Kerala,454.59,1640.81,27.71,laterite,1
2019,8,Munnar,Kerala,468.74,1601.46,39.04,laterite,1
2019,9,Munnar,Kerala,347.88,1604.98,30.2,laterite,0
2019,10,Munnar,Kerala,77.44,1552.57,35.84,laterite,0
2019,11,Munnar,Kerala,227.24,1596.21,33.76,laterite,1
2019,12,Munnar,Kerala,63.2,1622.12,30.61,laterite,0
2020,1,Munnar,Kerala,170.56,1607.68,34.44,laterite,1
2020,2,Munnar,Kerala,149.69,1582.25,26.64,laterite,0
2020,3,Munnar,Kerala,149.41,1594.95,31.35,laterite,0
2020,4,Munnar,Kerala,92.11,1606.54,32.04,laterite,0
2020,5,Munnar,Kerala,380.96,1592.24,32.97,laterite,0
2020,6,Munnar,Kerala,649.1,1626.63,26.62,laterite,1
2020,7,Munnar,Kerala,603.85,1619.79,33.87,laterite,1
2020,8,Munnar,Kerala,492.41,1599.78,25.73,laterite,0
2020,9,Munnar,Kerala,290.52,1591.97,33.24,laterite,0
2020,10,Munnar,Kerala,90.59,1605.1,33.68,laterite,1
2020,11,Munnar,Kerala,29.7,1564.81,29.84,laterite,0
2020,12,Munnar,Kerala,20.0,1639.25,31.09,laterite,0
2021,1,Munnar,Kerala,73.46,1612.98,36.6,laterite,0
2021,2,Munnar,Kerala,147.2,1591.42,33.37,laterite,0
2021,3,Munnar,Kerala,182.11,1602.44,29.68,laterite,0
2021,4,Munnar,Kerala,152.98,1589.2,37.58,laterite,0
2021,5,Munnar,Kerala,468.0,1654.75,29.58,laterite,1
2021,6,Munnar,Kerala,528.24,1625.82,26.57,laterite,0
2021,7,Munnar,Kerala,585.95,1577.54,33.48,laterite,0
2021,8,Munnar,Kerala,674.09,1598.16,31.15,laterite,1
2021,9,Munnar,Kerala,293.2,1597.14,35.71,laterite,1
2021,10,Munnar,Kerala,87.14,1606.48,32.91,laterite,0
2021,11,Munnar,Kerala,141.85,1588.75,33.87,laterite,0
2021,12,Munnar,Kerala,114.56,1565.79,33.61,laterite,0
2022,1,Munnar,Kerala,154.74,1581.29,36.65,laterite,0
2022,2,Munnar,Kerala,145.0,1628.83,35.08,laterite,0
2022,3,Munnar,Kerala,173.52,1634.22,29.11,laterite,1
2022,4,Munnar,Kerala,30.94,1636.11,34.66,laterite,0
2022,5,Munnar,Kerala,483.3,1601.85,36.89,laterite,0
2022,6,Munnar,Kerala,616.94,1619.91,31.16,laterite,0
