,place,year,month,day,2m_temperature,10m_wind_speed,total_precipitation,2m_dewpoint_temperature,surface_pressure,cape,thunderstorm
0,Kolkata,2021,3,24,40.6,18.7,0.0,13.35,1007.2208333333332,189.16666666666663,0
1,Kolkata,2021,3,25,39.7,21.1,0.0,8.495833333333334,1006.9791666666666,117.5,0
2,Kolkata,2021,3,26,39.1,22.9,0.0,10.883333333333333,1007.0916666666668,50.41666666666666,0
3,Kolkata,2021,3,27,38.4,16.6,0.0,11.691666666666668,1006.4166666666666,175.41666666666666,0
4,Kolkata,2021,3,28,39.1,21.6,0.0,13.570833333333333,1004.9583333333334,614.5833333333334,1
5,Kolkata,2021,3,29,39.4,28.9,0.0,18.77083333333333,1002.9,1383.3333333333333,1
6,Kolkata,2021,3,30,43.2,33.0,0.0,16.995833333333334,998.7958333333332,1027.5,1
7,Kolkata,2021,3,31,43.8,30.9,0.0,14.483333333333334,996.8833333333332,404.1666666666667,0
8,Kolkata,2021,4,1,40.6,26.2,0.0,14.5125,999.5916666666668,821.6666666666666,1
9,Kolkata,2021,4,2,39.4,27.7,0.0,20.366666666666667,1003.2875,1535.0,1
10,Kolkata,2021,4,3,39.1,21.9,0.0,18.179166666666667,1005.2916666666666,1619.5833333333333,1
11,Kolkata,2021,4,4,39.0,31.0,0.8,16.133333333333333,1006.3291666666668,1357.0833333333333,1
12,Kolkata,2021,4,5,38.4,25.3,0.0,12.383333333333333,1007.4041666666668,358.75,0
13,Kolkata,2021,4,6,37.5,25.2,0.0,15.983333333333334,1007.6166666666668,250.0,0
14,Kolkata,2021,4,7,35.9,27.0,0.0,19.45833333333333,1008.025,606.6666666666666,1
15,Kolkata,2021,4,8,35.6,29.4,0.0,21.17083333333333,1006.3833333333332,1565.8333333333333,1
16,Kolkata,2021,4,9,36.2,29.4,0.1,20.320833333333333,1007.0916666666668,1523.75,1
17,Kolkata,2021,4,10,38.7,26.9,0.1,19.725,1008.1416666666668,1305.4166666666667,1
18,Kolkata,2021,4,11,39.4,24.6,0.0,18.133333333333333,1008.8166666666666,1018.75,1
19,Kolkata,2021,4,12,39.6,37.7,0.1,17.599999999999998,1009.1416666666668,776.6666666666666,1
20,Kolkata,2021,4,13,40.5,27.1,0.0,16.962500000000002,1007.6583333333332,1040.8333333333333,1
21,Kolkata,2021,4,14,41.8,29.4,0.0,16.616666666666667,1006.4916666666668,1417.0833333333333,1
22,Kolkata,2021,4,15,41.0,31.6,0.0,17.333333333333332,1005.3791666666666,1489.5833333333333,1
23,Kolkata,2021,4,16,39.3,27.8,0.0,17.058333333333334,1005.3833333333332,1346.25,1
24,Kolkata,2021,4,17,38.7,34.0,0.8,19.808333333333334,1007.0458333333332,1560.0,1
25,Kolkata,2021,4,18,37.8,34.8,0.0,20.6,1006.8166666666666,1489.1666666666667,1
26,Kolkata,2021,4,19,41.1,24.2,0.0,15.245833333333332,1004.8083333333334,1334.1666666666667,1
27,Kolkata,2021,4,20,40.1,29.5,0.0,20.0875,1004.7625,2158.75,1
28,Kolkata,2021,4,21,40.8,36.5,0.0,21.025,1005.6916666666666,2226.6666666666665,1
29,Kolkata,2021,4,22,40.2,23.9,0.2,19.991666666666667,1006.0208333333334,1634.5833333333333,1
30,Kolkata,2021,4,23,39.1,14.8,0.0,12.404166666666669,1006.2666666666668,144.58333333333334,0
31,Kolkata,2021,4,24,41.0,24.1,0.0,12.6,1005.0541666666668,104.16666666666669,0
32,Kolkata,2021,4,25,42.3,28.2,0.0,14.9,1004.5333333333332,367.0833333333333,0
33,Kolkata,2021,4,26,42.4,32.1,0.0,16.025000000000002,1004.3666666666668,707.5,1
34,Kolkata,2021,4,27,41.5,30.9,0.0,18.2,1004.9333333333334,1091.6666666666667,1
35,Kolkata,2021,4,28,40.7,27.6,0.0,19.65833333333333,1006.625,1551.6666666666667,1
36,Kolkata,2021,4,29,40.0,30.0,0.0,19.229166666666668,1006.8125,1460.8333333333333,1
37,Kolkata,2021,4,30,39.7,28.2,0.0,19.125,1005.7541666666666,1578.3333333333333,1
38,Kolkata,2021,5,1,38.5,29.3,0.0,20.0,1006.625,1850.8333333333333,1
39,Kolkata,2021,5,2,37.5,28.0,0.0,21.179166666666667,1006.3541666666666,2210.833333333333,1
40,Kolkata,2021,5,3,39.6,30.8,3.5,18.85,1004.9208333333332,1240.4166666666667,1
41,Kolkata,2021,5,4,31.6,24.0,2.6,18.83333333333333,1006.3708333333334,811.6666666666666,1
42,Kolkata,2021,5,5,36.6,23.5,0.8,18.925,1006.2041666666668,1054.5833333333333,1
43,Kolkata,2021,5,6,38.2,24.5,0.9,19.195833333333333,1007.4916666666668,1003.3333333333334,1
44,Kolkata,2021,5,7,37.8,38.3,4.6,20.725,1008.0666666666666,1334.5833333333333,1
